scenario,year,scope,assumption,metric,unit,conditioning_scope,evidence_status,deterministic,mean,median,lower,upper,standard_deviation,interval_interpretation
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2480.24802480248,2481.9962311011595,2082.396112064698,306.57442311705057,6843.591405516393,1714.9080971959336,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1488.1488148814879,1484.551321926204,1210.876623513937,164.71674099410606,4398.374564722909,1123.3036272980871,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,992.099209920992,997.4449091749555,777.0943429686196,90.99843779354556,3157.207866105027,818.6557870006687,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,595.2595259525951,596.5384678303883,447.03325644863463,52.63809276383808,2008.7975589953649,531.9668762695112,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,49.6049604960496,50.48285169435915,32.70706177757253,2.4220196945417736,196.00686021334064,56.413523940957745,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4960496.04960496,4990960.528918454,3998443.977124767,543191.2132042671,14942325.42043032,3865854.975742047,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,young_expected_people,people,expressed cases in disjoint age 0-19 stratum,synthetic_assumption,252.52525252525254,254.95324294641247,211.3730521598393,30.723108270787336,718.4532720692011,180.8541039777355,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
age_stratified,2025,full fictional diabetes cohort,Disjoint 0-19 and 20-100 strata; assumed odds multipliers,adult_expected_people,people,expressed cases in disjoint age 20-100 stratum,synthetic_assumption,2227.7227722772277,2227.042988154747,1871.0230089570512,275.8513148462632,6125.1281376563065,1534.0985843402796,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,100000.0,100013.31413793631,100001.56135952496,95105.12979377972,105010.54433172646,2515.6317550447893,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02487562189054727,0.02492105821478684,0.020949937027558225,0.003075117149000213,0.06872982473541961,0.01725996120893437,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.01492537313432836,0.014907505042203686,0.01214602949578742,0.0016603907173568966,0.0442225462159143,0.011308851636381956,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2487.562189054727,2492.703424184445,2087.5106207972613,306.6835412874846,6896.6200085957025,1729.3397782285667,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1492.537313432836,1490.9641256846628,1213.2927887471856,164.8200014287061,4430.470235487177,1132.3614782993836,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,995.0248756218907,1001.739298499782,779.0134563902525,91.04269601563699,3184.6928638282357,824.7604422657752,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,597.0149253731345,599.1260422788972,447.9391344229183,52.66449657566272,2027.5438731385448,535.9686135230673,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,49.75124378109454,50.70200013609401,32.815367443687336,2.4228451020011725,197.52105113299152,56.801235966437815,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
calendar_2030,2030,full fictional diabetes cohort,2030 odds contrast; denominator held fixed; not a forecast,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4975124.378109453,5012493.833738025,4009011.7112593483,543376.5086674831,15034421.634403,3895904.083016742,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,50000.0,50006.657068968154,50000.78067976248,47552.56489688986,52505.27216586323,1257.8158775223947,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,50000.0,50006.657068968154,50000.78067976248,47552.56489688986,52505.27216586323,1257.8158775223947,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.012014953292877575,0.009757353875265655,0.0013309043478059541,0.03586651270388373,0.009175245344379614,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,1000.0,1004.5086464156029,838.4712698185585,122.74633524271997,2795.9968796917756,701.9615589310973,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,600.0,600.8348543869392,487.31846994467327,65.97203286626802,1794.8650585238918,459.36418808087853,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,400.0,403.6737920286638,312.92856498415904,36.45875812042336,1287.8624516757422,334.21330302319643,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,240.0,241.44623386625074,180.08850738159086,21.091055206790784,820.7303388226701,217.2219361847462,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,20.0,20.43285968245954,13.188113919851183,0.9697290956717585,79.97209254216023,22.99404339469988,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
model_eligibility,2025,model-covered subset only; uncovered burden unavailable,Assumed same fraction in covered subset; no ancestry biology,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,2000000.0,2019932.89073114,1610889.5775427776,217479.228830672,6084715.548474337,1579602.2772554078,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,90000.0,90011.98272414268,90001.40522357245,85594.61681440174,94509.48989855382,2264.0685795403106,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,9999.999999999998,10001.331413793629,10000.156135952493,9510.512979377969,10501.054433172645,251.56317550447892,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.012014953292877575,0.009757353875265655,0.0013309043478059541,0.03586651270388373,0.009175245344379614,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,1800.0,1808.1155635480854,1509.2482856734055,220.94340343689595,5032.794383445196,1263.5308060759753,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1080.0,1081.5027378964905,877.173245900412,118.74965915928246,3230.757105343005,826.8555385455815,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,720.0,726.6128256515949,563.2714169714862,65.62576461676208,2318.1524130163357,601.5839454417536,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,432.0,434.60322095925136,324.1593132868636,37.96389937222341,1477.3146098808063,390.99948513254316,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,36.0,36.77914742842717,23.73860505573213,1.7455123722091652,143.94976657588842,41.389278110459784,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
unclassified,2025,classified subset only; unclassified burden unavailable,Assumed same fraction in classified subset; no missing imputation,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,3600000.0,3635879.2033160524,2899601.239577,391462.6118952096,10952487.987253807,2843284.099059734,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,100000.0,100013.31413793631,100001.56135952496,95105.12979377972,105010.54433172646,2515.6317550447893,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.02010823234320935,0.01805111661938763,0.00495064409486353,0.04681892185203717,0.01100193153083276,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.012063949456334183,0.010377162037014265,0.0025744894707615358,0.030970045052337813,0.007507395300372604,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2000.0,2011.0470737573162,1805.6661754809395,493.8413099902515,4710.347582809302,1101.4519849912936,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1200.0,1206.4251658285957,1035.0973691658328,257.461067988561,3094.6766781317074,751.4204270670716,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,800.0,804.6219079287208,669.9429417007536,135.88777953809276,2187.9940566507034,549.2523011249741,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,480.0,484.28661509554115,387.9364349022532,70.39576333788628,1421.5079877021683,363.43815283749376,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,40.0,40.6847617489731,29.111372281641522,3.0199349112165645,141.5690838959459,38.76695947295767,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_independent,2025,full fictional diabetes cohort,Independent fraction draws in unnamed disjoint strata,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4000000.0,4038742.78310093,3444906.9695041752,818784.2800161386,10463067.716540815,2568748.8727407707,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,modelled_denominator,people,model-covered/classified diabetes scope,synthetic_assumption,100000.0,100013.31413793631,100001.56135952496,95105.12979377972,105010.54433172646,2515.6317550447893,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,unavailable_denominator,people,diabetes population with unavailable aetiology,synthetic_assumption,0.0,0.0,0.0,0.0,0.0,0.0,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,assumed_case_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.02,0.020085320084091213,0.01683046907567076,0.0024616076664430607,0.05575020015704298,0.014012102611498661,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,assumed_detected_probability,proportion,assumed within modelled diabetes scope,synthetic_assumption,0.012,0.012014953292877575,0.009757353875265655,0.0013309043478059541,0.03586651270388373,0.009175245344379614,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,assumed_undetected_given_case_probability,proportion,assumed conditional on case,synthetic_assumption,0.4,0.40099459818585087,0.3966445852291208,0.1373194196852326,0.7040680881339753,0.14849279039939214,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,expected_people,people,expressed cases in modelled diabetes scope,synthetic_assumption,2000.0,2009.0172928312059,1676.942539637117,245.49267048543993,5591.993759383551,1403.9231178621947,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,detected_people,people,modelled detected cases; not observed diagnoses,synthetic_assumption,1200.0,1201.6697087738785,974.6369398893465,131.94406573253605,3589.7301170477836,918.7283761617571,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,undetected_people,people,modelled undetected expressed cases,synthetic_assumption,800.0,807.3475840573276,625.8571299683181,72.91751624084672,2575.7249033514845,668.4266060463929,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,assumed_delay_given_detection_years,years,assumed historical conditional delay,synthetic_assumption,3.0,3.0055173523403593,2.993747568412708,1.099022665622961,4.903528917456035,1.153076678883083,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,treatment_change_people,people,hypothetical change among detected cases; no benefit,synthetic_assumption,480.0,482.8924677325015,360.1770147631817,42.18211041358157,1641.4606776453402,434.4438723694924,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,complication_people,people,one hypothetical event at most per case over full year,synthetic_assumption,40.0,40.86571936491908,26.376227839702366,1.939458191343517,159.94418508432045,45.98808678939976,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
strata_shared,2025,full fictional diabetes cohort,Perfectly shared fraction draw in unnamed disjoint strata,annual_cost,synthetic_currency_units,"one full year, constant fictional 2025 prices",synthetic_assumption,4000000.0,4039865.78146228,3221779.1550855553,434958.457661344,12169431.096948674,3159204.5545108155,"Invented parameter uncertainty conditional on structure, not empirical confidence; fixed design assumptions have unquantified uncertainty; zero width is not certainty."
